                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5566,                 3.6593,                 4.2208,                0.00287,                 0.6213,                0.01681,                0.00403,                 3.5738,                  3.864,                 4.1592,                0.00014,                0.00014,                0.00014
                      1,                 3.5552,                 3.4251,                 4.1271,                0.00284,                0.61538,                0.02311,                0.00508,                 3.5676,                 3.8569,                 4.1517,             0.00029851,             0.00029851,             0.00029851
                      2,                 3.1978,                 3.1698,                 3.9979,                0.00279,                0.60355,                0.05773,                0.01263,                 3.5624,                 3.8332,                 4.1425,             0.00045545,             0.00045545,             0.00045545
                      3,                 3.0354,                 3.1756,                 3.8564,                0.00281,                0.60947,                0.00826,                0.00207,                 3.5531,                 3.7651,                 4.1268,             0.00061079,             0.00061079,             0.00061079
                      4,                 3.1305,                 3.0851,                 3.6808,                 0.0029,                0.62722,                0.01213,                0.00309,                 3.5221,                 3.6574,                 4.0868,             0.00076456,             0.00076456,             0.00076456
                      5,                 2.8113,                 2.8494,                 3.5974,                0.00284,                0.61538,                0.03691,                0.01004,                 3.4468,                 3.6097,                 3.8279,             0.00091674,             0.00091674,             0.00091674
                      6,                 2.9109,                 2.8453,                 3.3517,                 0.0188,                0.56805,                0.04458,                0.01287,                  3.082,                 19.744,                 3.5568,              0.0010673,              0.0010673,              0.0010673
                      7,                 2.9225,                 2.8699,                 3.4267,                0.01412,                0.59172,                0.19881,                0.04995,                 3.0826,                 3.6915,                 3.3733,              0.0012163,              0.0012163,              0.0012163
                      8,                 2.6841,                 2.8003,                 3.2903,                0.00325,                0.70414,                 0.0096,                0.00167,                 3.6835,                 3.5873,                 4.3416,              0.0013638,              0.0013638,              0.0013638
                      9,                 2.7672,                 2.7125,                 3.1901,                0.00444,                 0.7929,                0.05036,                0.01118,                 3.5892,                 3.9984,                 5.3316,              0.0015096,              0.0015096,              0.0015096
                     10,                 2.8154,                 2.7694,                 3.2847,                0.00347,                0.57988,                0.01183,                0.00243,                 3.4264,                 4.8961,                 4.1032,              0.0016539,              0.0016539,              0.0016539
                     11,                 2.7244,                  2.758,                 3.2883,                0.00566,                0.59172,                0.01273,                0.00275,                 3.3659,                 15.625,                 3.8863,              0.0017965,              0.0017965,              0.0017965
                     12,                 2.5761,                 2.5924,                 3.1816,                0.04942,                0.13018,                0.03337,                0.01045,                 2.7904,                 12.224,                 28.142,              0.0018812,              0.0018812,              0.0018812
                     13,                 2.5784,                 2.6451,                  3.104,                0.10804,                0.15976,                0.05212,                0.01379,                 3.2999,                 5.0729,                 3.8141,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.5952,                 2.6128,                 3.1274,                0.08116,                0.11243,                0.03447,                 0.0107,                 3.1797,                 5.4945,                 3.9392,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.5378,                 2.5992,                 3.0051,                0.07604,                0.06509,                0.02293,                0.00531,                 3.1265,                 15.791,                 15.607,              0.0018614,              0.0018614,              0.0018614
                     16,                  2.566,                 2.6265,                 3.0183,                0.13902,                0.26627,                0.09086,                0.02626,                  3.028,                 14.019,                 4.6012,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.4865,                 2.5337,                 2.9744,                0.19867,                0.49704,                0.25625,                0.07872,                 2.5626,                 14.457,                 3.7144,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.4019,                 2.4547,                 2.8721,                 0.2895,                0.36686,                 0.2499,                0.08338,                 2.2888,                 14.255,                 3.6515,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.4267,                 2.4135,                 2.8321,                0.18759,                0.50888,                0.25355,                0.08052,                 2.7199,                 17.054,                 4.6871,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.4564,                 2.3839,                  2.876,                0.25624,                0.14201,                0.09705,                0.03479,                 2.9996,                 4.0071,                   4.29,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.3646,                 2.2931,                 2.7695,                0.07503,                0.49112,                0.05769,                0.01847,                 2.5675,                 4.1497,                 3.4376,               0.001802,               0.001802,               0.001802
                     22,                 2.3225,                 2.3455,                 2.7467,                0.22908,                0.30769,                0.19981,                0.05617,                 2.1248,                  9.912,                 2.6917,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.3088,                 2.2064,                 2.8368,                0.13774,                0.35503,                0.11822,                0.03922,                 2.6601,                 12.687,                 3.5837,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.3138,                 2.1487,                 2.7852,                0.32129,                0.43787,                0.26574,                0.08675,                 2.2916,                 7.7076,                 3.0599,              0.0017723,              0.0017723,              0.0017723
                     25,                  2.165,                 2.1013,                 2.6575,                0.30865,                0.47337,                 0.2689,                 0.0947,                  2.457,                 3.5295,                 3.1828,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.2603,                 2.2328,                 2.6367,                0.31485,                0.36095,                0.23445,                0.07112,                 2.6544,                 2.7641,                 3.1768,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.3095,                 2.2209,                 2.7424,                0.13717,                0.16568,                0.06933,                0.02342,                 3.0556,                 3.5884,                 3.5336,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.2809,                 2.1034,                 2.7226,                0.33206,                0.57396,                 0.3763,                0.12004,                 2.0435,                 3.1926,                 2.5139,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.2319,                 2.1721,                  2.636,                 0.3378,                0.43195,                0.32939,                0.12399,                 1.9218,                 2.6403,                 2.4739,              0.0017228,              0.0017228,              0.0017228
